Date,PredictLabel,PredictLabelMean,PredictLabel1,PredictLabel5,PredictLabel10,PredictLabel15,PredictLabel20,PredictLabel30
2014/04/08,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/09,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/10,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/11,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/14,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/15,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/16,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/17,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/18,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/21,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/22,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/23,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014/04/24,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014/04/25,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014/04/28,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014/04/29,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/04/30,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/05/02,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014/05/05,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/05/06,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/05/07,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/05/08,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/05/09,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/05/12,['nan' '0.98' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9966666666666667,1.0,1.0,1.0,1.0,1.0,0.98
2014/05/13,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/05/14,['nan' '0.97' '1.0' '1.0' '1.0' '1.0' '1.0'],0.995,1.0,1.0,1.0,1.0,1.0,0.97
2014/05/15,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/05/16,['nan' '0.97' '1.0' '1.0' '1.0' '1.0' '1.0'],0.995,1.0,1.0,1.0,1.0,1.0,0.97
2014/05/19,['nan' '0.97' '1.0' '1.0' '1.0' '1.0' '1.0'],0.995,1.0,1.0,1.0,1.0,1.0,0.97
2014/05/20,['nan' '0.97' '0.97' '1.0' '1.0' '1.0' '1.0'],0.9899999999999999,1.0,1.0,1.0,1.0,0.97,0.97
2014/05/21,['nan' '0.97' '0.99' '1.0' '1.0' '1.0' '1.0'],0.9933333333333333,1.0,1.0,1.0,1.0,0.99,0.97
2014/05/22,['nan' '0.96' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9933333333333333,1.0,1.0,1.0,1.0,1.0,0.96
2014/05/23,['nan' '0.94' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9899999999999999,1.0,1.0,1.0,1.0,1.0,0.94
2014/05/26,['nan' '0.94' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9899999999999999,1.0,1.0,1.0,1.0,1.0,0.94
2014/05/27,['nan' '0.94' '0.95' '1.0' '1.0' '1.0' '1.0'],0.9816666666666666,1.0,1.0,1.0,1.0,0.95,0.94
2014/05/28,['nan' '0.95' '0.94' '1.0' '1.0' '1.0' '1.0'],0.9816666666666666,1.0,1.0,1.0,1.0,0.94,0.95
2014/05/29,['nan' '0.94' '0.91' '1.0' '1.0' '1.0' '1.0'],0.975,1.0,1.0,1.0,1.0,0.91,0.94
2014/05/30,['nan' '0.94' '0.91' '1.0' '1.0' '1.0' '1.0'],0.975,1.0,1.0,1.0,1.0,0.91,0.94
2014/06/03,['nan' '0.98' '0.99' '1.0' '0.93' '0.97' '1.0'],0.9783333333333334,1.0,0.97,0.93,1.0,0.99,0.98
2014/06/04,['nan' '0.89' '0.96' '0.98' '0.93' '0.98' '1.0'],0.9566666666666667,1.0,0.98,0.93,0.98,0.96,0.89
2014/06/05,['nan' '0.89' '0.95' '0.98' '1.0' '0.98' '1.0'],0.9666666666666667,1.0,0.98,1.0,0.98,0.95,0.89
2014/06/06,['nan' '0.88' '0.94' '0.98' '1.0' '0.98' '1.0'],0.9633333333333333,1.0,0.98,1.0,0.98,0.94,0.88
2014/06/09,['nan' '0.88' '0.97' '0.98' '0.99' '0.98' '1.0'],0.9666666666666668,1.0,0.98,0.99,0.98,0.97,0.88
2014/06/10,['nan' '0.88' '0.78' '0.98' '0.92' '0.97' '0.99'],0.92,0.99,0.97,0.92,0.98,0.78,0.88
2014/06/11,['nan' '0.88' '0.78' '0.98' '0.98' '0.97' '0.96'],0.9249999999999999,0.96,0.97,0.98,0.98,0.78,0.88
2014/06/12,['nan' '0.86' '0.77' '0.98' '0.97' '0.95' '0.98'],0.9183333333333333,0.98,0.95,0.97,0.98,0.77,0.86
2014/06/13,['nan' '0.87' '0.76' '0.98' '0.95' '0.95' '0.98'],0.915,0.98,0.95,0.95,0.98,0.76,0.87
2014/06/16,['nan' '0.75' '0.76' '0.98' '0.88' '0.95' '0.96'],0.88,0.96,0.95,0.88,0.98,0.76,0.75
2014/06/17,['nan' '0.73' '0.75' '0.95' '0.87' '0.95' '0.98'],0.8716666666666667,0.98,0.95,0.87,0.95,0.75,0.73
2014/06/18,['nan' '0.74' '0.77' '0.94' '0.87' '0.95' '0.96'],0.8716666666666667,0.96,0.95,0.87,0.94,0.77,0.74
2014/06/19,['nan' '0.73' '0.76' '0.94' '0.87' '0.95' '0.96'],0.8683333333333333,0.96,0.95,0.87,0.94,0.76,0.73
2014/06/20,['nan' '0.68' '0.69' '0.94' '0.87' '0.93' '0.94'],0.8416666666666668,0.94,0.93,0.87,0.94,0.69,0.68
2014/06/23,['nan' '0.67' '0.7' '0.94' '0.87' '0.91' '0.94'],0.8383333333333333,0.94,0.91,0.87,0.94,0.7,0.67
2014/06/24,['nan' '0.68' '0.69' '0.95' '0.88' '0.93' '0.93'],0.8433333333333333,0.93,0.93,0.88,0.95,0.69,0.68
2014/06/25,['nan' '0.72' '0.65' '0.96' '0.88' '0.93' '0.95'],0.8483333333333333,0.95,0.93,0.88,0.96,0.65,0.72
2014/06/26,['nan' '0.72' '0.66' '0.96' '0.88' '0.92' '0.96'],0.85,0.96,0.92,0.88,0.96,0.66,0.72
2014/06/27,['nan' '0.7' '0.65' '0.96' '0.96' '0.93' '0.96'],0.86,0.96,0.93,0.96,0.96,0.65,0.7
2014/06/30,['nan' '0.68' '0.62' '0.96' '0.96' '0.97' '0.96'],0.8583333333333333,0.96,0.97,0.96,0.96,0.62,0.68
2014/07/01,['nan' '0.64' '0.8' '0.98' '0.96' '0.97' '0.96'],0.8849999999999999,0.96,0.97,0.96,0.98,0.8,0.64
2014/07/02,['nan' '0.63' '0.8' '0.98' '0.95' '0.95' '0.94'],0.875,0.94,0.95,0.95,0.98,0.8,0.63
2014/07/03,['nan' '0.63' '0.8' '0.79' '0.96' '0.95' '0.94'],0.8450000000000001,0.94,0.95,0.96,0.79,0.8,0.63
2014/07/04,['nan' '0.63' '0.81' '0.76' '0.96' '0.97' '0.96'],0.8483333333333333,0.96,0.97,0.96,0.76,0.81,0.63
2014/07/07,['nan' '0.63' '0.81' '0.77' '0.94' '0.97' '0.96'],0.8466666666666667,0.96,0.97,0.94,0.77,0.81,0.63
2014/07/08,['nan' '0.64' '0.81' '0.78' '0.89' '0.97' '0.96'],0.8416666666666668,0.96,0.97,0.89,0.78,0.81,0.64
2014/07/09,['nan' '0.67' '0.81' '0.98' '0.89' '0.97' '0.96'],0.88,0.96,0.97,0.89,0.98,0.81,0.67
2014/07/10,['nan' '0.67' '0.77' '0.95' '0.89' '0.97' '0.96'],0.8683333333333333,0.96,0.97,0.89,0.95,0.77,0.67
2014/07/11,['nan' '0.67' '0.76' '0.8' '0.9' '0.98' '0.96'],0.8450000000000001,0.96,0.98,0.9,0.8,0.76,0.67
2014/07/14,['nan' '0.65' '0.75' '0.77' '0.91' '0.99' '0.96'],0.8383333333333334,0.96,0.99,0.91,0.77,0.75,0.65
2014/07/15,['nan' '0.62' '0.78' '0.77' '0.95' '1.0' '0.94'],0.8433333333333334,0.94,1.0,0.95,0.77,0.78,0.62
2014/07/16,['nan' '0.62' '0.78' '0.77' '0.92' '0.99' '0.96'],0.84,0.96,0.99,0.92,0.77,0.78,0.62
2014/07/17,['nan' '0.6' '0.79' '0.77' '0.91' '1.0' '0.96'],0.8383333333333334,0.96,1.0,0.91,0.77,0.79,0.6
2014/07/18,['nan' '0.6' '0.79' '0.77' '0.91' '1.0' '0.94'],0.835,0.94,1.0,0.91,0.77,0.79,0.6
2014/07/21,['nan' '0.6' '0.78' '0.77' '0.91' '1.0' '0.97'],0.8383333333333334,0.97,1.0,0.91,0.77,0.78,0.6
2014/07/22,['nan' '0.6' '0.79' '0.77' '0.91' '0.97' '0.98'],0.8366666666666666,0.98,0.97,0.91,0.77,0.79,0.6
2014/07/24,['nan' '0.6' '0.75' '0.78' '0.91' '0.98' '0.98'],0.8333333333333334,0.98,0.98,0.91,0.78,0.75,0.6
2014/07/25,['nan' '0.62' '0.72' '0.78' '0.91' '0.98' '0.98'],0.8316666666666667,0.98,0.98,0.91,0.78,0.72,0.62
2014/07/28,['nan' '0.62' '0.72' '0.78' '0.91' '0.98' '0.96'],0.8283333333333333,0.96,0.98,0.91,0.78,0.72,0.62
2014/07/29,['nan' '0.62' '0.72' '0.78' '0.91' '0.98' '0.96'],0.8283333333333333,0.96,0.98,0.91,0.78,0.72,0.62
2014/07/30,['nan' '0.62' '0.72' '0.78' '0.95' '0.98' '0.98'],0.8383333333333335,0.98,0.98,0.95,0.78,0.72,0.62
2014/07/31,['nan' '0.62' '0.73' '0.78' '0.95' '0.98' '0.98'],0.8400000000000002,0.98,0.98,0.95,0.78,0.73,0.62
2014/08/01,['nan' '0.62' '0.72' '0.78' '0.95' '0.98' '0.97'],0.8366666666666668,0.97,0.98,0.95,0.78,0.72,0.62
2014/08/04,['nan' '0.62' '0.72' '0.78' '0.95' '0.98' '0.96'],0.8350000000000001,0.96,0.98,0.95,0.78,0.72,0.62
2014/08/05,['nan' '0.62' '0.72' '0.78' '0.95' '0.98' '0.96'],0.8350000000000001,0.96,0.98,0.95,0.78,0.72,0.62
2014/08/06,['nan' '0.56' '0.72' '0.78' '0.95' '0.98' '0.96'],0.8249999999999998,0.96,0.98,0.95,0.78,0.72,0.56
2014/08/07,['nan' '0.56' '0.72' '0.78' '0.95' '0.98' '0.92'],0.8183333333333334,0.92,0.98,0.95,0.78,0.72,0.56
2014/08/08,['nan' '0.56' '0.72' '0.78' '0.94' '0.98' '0.91'],0.815,0.91,0.98,0.94,0.78,0.72,0.56
2014/08/11,['nan' '0.56' '0.72' '0.78' '0.94' '0.98' '0.92'],0.8166666666666668,0.92,0.98,0.94,0.78,0.72,0.56
2014/08/12,['nan' '0.56' '0.72' '0.78' '0.94' '0.98' '0.91'],0.815,0.91,0.98,0.94,0.78,0.72,0.56
2014/08/13,['nan' '0.51' '0.72' '0.78' '0.95' '0.98' '0.91'],0.8083333333333332,0.91,0.98,0.95,0.78,0.72,0.51
2014/08/14,['nan' '0.54' '0.72' '0.78' '0.95' '0.98' '0.91'],0.8133333333333334,0.91,0.98,0.95,0.78,0.72,0.54
2014/08/15,['nan' '0.56' '0.72' '0.78' '0.94' '0.97' '0.91'],0.8133333333333334,0.91,0.97,0.94,0.78,0.72,0.56
2014/08/18,['nan' '0.7' '0.71' '0.78' '0.94' '0.97' '0.91'],0.835,0.91,0.97,0.94,0.78,0.71,0.7
2014/08/19,['nan' '0.67' '0.71' '0.78' '0.95' '0.98' '0.91'],0.8333333333333334,0.91,0.98,0.95,0.78,0.71,0.67
2014/08/20,['nan' '0.71' '0.71' '0.78' '0.94' '0.98' '0.91'],0.8383333333333334,0.91,0.98,0.94,0.78,0.71,0.71
2014/08/21,['nan' '0.7' '0.75' '0.78' '0.95' '0.98' '0.91'],0.8450000000000001,0.91,0.98,0.95,0.78,0.75,0.7
2014/08/22,['nan' '0.71' '0.75' '0.94' '0.87' '0.98' '0.91'],0.86,0.91,0.98,0.87,0.94,0.75,0.71
2014/08/25,['nan' '0.71' '0.75' '1.0' '0.87' '0.98' '0.91'],0.8700000000000001,0.91,0.98,0.87,1.0,0.75,0.71
2014/08/26,['nan' '0.71' '0.76' '1.0' '0.87' '0.98' '0.91'],0.8716666666666667,0.91,0.98,0.87,1.0,0.76,0.71
2014/08/27,['nan' '0.72' '0.76' '1.0' '0.87' '0.98' '0.91'],0.8733333333333334,0.91,0.98,0.87,1.0,0.76,0.72
2014/08/28,['nan' '0.72' '0.75' '1.0' '0.87' '0.98' '0.91'],0.8716666666666667,0.91,0.98,0.87,1.0,0.75,0.72
2014/08/29,['nan' '0.72' '0.75' '1.0' '0.87' '0.98' '0.91'],0.8716666666666667,0.91,0.98,0.87,1.0,0.75,0.72
2014/09/01,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/09/02,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/09/03,['nan' '0.99' '1.0' '1.0' '1.0' '1.0' '1.0'],0.9983333333333334,1.0,1.0,1.0,1.0,1.0,0.99
2014/09/04,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014/09/05,['nan' '1.0' '1.0' '1.0' '1.0' '1.0' '1.0'],1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014/09/09,['nan' '1.0' '1.0' '1.0' '0.99' '1.0' '1.0'],0.9983333333333334,1.0,1.0,0.99,1.0,1.0,1.0
2014/09/10,['nan' '1.0' '1.0' '1.0' '0.99' '1.0' '1.0'],0.9983333333333334,1.0,1.0,0.99,1.0,1.0,1.0
2014/09/11,['nan' '1.0' '1.0' '1.0' '0.99' '1.0' '1.0'],0.9983333333333334,1.0,1.0,0.99,1.0,1.0,1.0
2014/09/12,['nan' '1.0' '1.0' '1.0' '0.99' '1.0' '1.0'],0.9983333333333334,1.0,1.0,0.99,1.0,1.0,1.0
2014/09/15,['nan' '1.0' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9966666666666667,1.0,1.0,0.98,1.0,1.0,1.0
2014/09/16,['nan' '1.0' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9966666666666667,1.0,1.0,0.98,1.0,1.0,1.0
2014/09/17,['nan' '1.0' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9966666666666667,1.0,1.0,0.98,1.0,1.0,1.0
2014/09/18,['nan' '1.0' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9966666666666667,1.0,1.0,0.98,1.0,1.0,1.0
2014/09/19,['nan' '1.0' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9966666666666667,1.0,1.0,0.98,1.0,1.0,1.0
2014/09/22,['nan' '1.0' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9966666666666667,1.0,1.0,0.98,1.0,1.0,1.0
2014/09/23,['nan' '1.0' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9966666666666667,1.0,1.0,0.98,1.0,1.0,1.0
2014/09/24,['nan' '1.0' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9966666666666667,1.0,1.0,0.98,1.0,1.0,1.0
2014/09/25,['nan' '0.99' '0.99' '1.0' '0.98' '1.0' '1.0'],0.9933333333333333,1.0,1.0,0.98,1.0,0.99,0.99
2014/09/26,['nan' '0.99' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9950000000000001,1.0,1.0,0.98,1.0,1.0,0.99
2014/09/29,['nan' '0.99' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9950000000000001,1.0,1.0,0.98,1.0,1.0,0.99
2014/09/30,['nan' '0.99' '1.0' '1.0' '0.98' '1.0' '1.0'],0.9950000000000001,1.0,1.0,0.98,1.0,1.0,0.99
2014/10/01,['nan' '0.99' '1.0' '1.0' '0.98' '0.98' '1.0'],0.9916666666666667,1.0,0.98,0.98,1.0,1.0,0.99
2014/10/02,['nan' '0.99' '1.0' '1.0' '0.98' '0.98' '1.0'],0.9916666666666667,1.0,0.98,0.98,1.0,1.0,0.99
2014/10/03,['nan' '0.99' '1.0' '1.0' '0.98' '0.98' '1.0'],0.9916666666666667,1.0,0.98,0.98,1.0,1.0,0.99
2014/10/06,['nan' '0.99' '1.0' '1.0' '0.98' '0.98' '1.0'],0.9916666666666667,1.0,0.98,0.98,1.0,1.0,0.99
2014/10/07,['nan' '0.98' '1.0' '1.0' '0.98' '0.98' '1.0'],0.9899999999999999,1.0,0.98,0.98,1.0,1.0,0.98
2014/10/08,['nan' '0.98' '1.0' '1.0' '0.99' '0.98' '1.0'],0.9916666666666666,1.0,0.98,0.99,1.0,1.0,0.98
2014/10/09,['nan' '0.98' '1.0' '1.0' '0.99' '0.98' '0.99'],0.9899999999999999,0.99,0.98,0.99,1.0,1.0,0.98
2014/10/13,['nan' '0.98' '1.0' '1.0' '0.99' '0.98' '0.99'],0.9899999999999999,0.99,0.98,0.99,1.0,1.0,0.98
2014/10/14,['nan' '0.97' '1.0' '1.0' '0.99' '0.98' '0.98'],0.9866666666666667,0.98,0.98,0.99,1.0,1.0,0.97
2014/10/15,['nan' '0.97' '1.0' '1.0' '0.98' '0.98' '0.98'],0.985,0.98,0.98,0.98,1.0,1.0,0.97
2014/10/16,['nan' '0.97' '1.0' '1.0' '0.98' '0.98' '0.98'],0.985,0.98,0.98,0.98,1.0,1.0,0.97
2014/10/17,['nan' '0.98' '1.0' '1.0' '0.98' '0.98' '0.97'],0.9849999999999999,0.97,0.98,0.98,1.0,1.0,0.98
2014/10/20,['nan' '0.98' '1.0' '1.0' '0.98' '0.98' '0.96'],0.9833333333333333,0.96,0.98,0.98,1.0,1.0,0.98
2014/10/21,['nan' '0.98' '1.0' '1.0' '0.98' '0.98' '0.96'],0.9833333333333333,0.96,0.98,0.98,1.0,1.0,0.98
2014/10/22,['nan' '0.97' '1.0' '1.0' '0.98' '0.98' '0.96'],0.9816666666666666,0.96,0.98,0.98,1.0,1.0,0.97
2014/10/23,['nan' '0.96' '1.0' '1.0' '0.97' '0.98' '0.96'],0.9783333333333334,0.96,0.98,0.97,1.0,1.0,0.96
2014/10/24,['nan' '0.96' '1.0' '1.0' '0.97' '0.98' '0.96'],0.9783333333333334,0.96,0.98,0.97,1.0,1.0,0.96
2014/10/27,['nan' '0.96' '1.0' '1.0' '0.97' '0.98' '0.97'],0.98,0.97,0.98,0.97,1.0,1.0,0.96
2014/10/28,['nan' '0.96' '1.0' '1.0' '1.0' '0.98' '0.97'],0.9849999999999999,0.97,0.98,1.0,1.0,1.0,0.96
2014/10/29,['nan' '0.96' '1.0' '1.0' '1.0' '0.98' '0.97'],0.9849999999999999,0.97,0.98,1.0,1.0,1.0,0.96
2014/10/30,['nan' '0.96' '1.0' '1.0' '1.0' '0.97' '0.97'],0.9833333333333333,0.97,0.97,1.0,1.0,1.0,0.96
2014/10/31,['nan' '0.96' '1.0' '1.0' '1.0' '0.97' '0.97'],0.9833333333333333,0.97,0.97,1.0,1.0,1.0,0.96
2014/11/03,['nan' '0.97' '1.0' '1.0' '1.0' '0.97' '0.97'],0.9849999999999999,0.97,0.97,1.0,1.0,1.0,0.97
2014/11/04,['nan' '0.96' '1.0' '1.0' '1.0' '0.96' '0.97'],0.9816666666666666,0.97,0.96,1.0,1.0,1.0,0.96
2014/11/05,['nan' '0.96' '1.0' '1.0' '0.97' '0.96' '0.96'],0.975,0.96,0.96,0.97,1.0,1.0,0.96
2014/11/06,['nan' '0.96' '1.0' '1.0' '1.0' '0.96' '0.97'],0.9816666666666666,0.97,0.96,1.0,1.0,1.0,0.96
2014/11/07,['nan' '0.96' '1.0' '1.0' '0.97' '0.96' '0.97'],0.9766666666666666,0.97,0.96,0.97,1.0,1.0,0.96
2014/11/10,['nan' '0.96' '1.0' '1.0' '0.97' '0.96' '0.97'],0.9766666666666666,0.97,0.96,0.97,1.0,1.0,0.96
2014/11/11,['nan' '0.96' '1.0' '1.0' '0.97' '0.95' '0.96'],0.9733333333333333,0.96,0.95,0.97,1.0,1.0,0.96
